search_term,video_id,url,title,category,view_count,comment_count
airline lost luggage,MXnlCcEXWg8,https://www.youtube.com/watch?v=MXnlCcEXWg8,Airline Lost Your Luggage. Know Your Rights.,LEVEL_1_AWARE,4,0
airline lost luggage,xWPRxQqzv9Q,https://www.youtube.com/watch?v=xWPRxQqzv9Q,Passengers in India furious over lost luggage after IndiGo flight disruptions,LEVEL_3_CRISIS,17172,3
flight delay horror story,-BCsQBxvd60,https://www.youtube.com/watch?v=-BCsQBxvd60,3 Very Disturbing TRUE Airplane Horror Stories | Mr. Night Scares,LEVEL_1_AWARE,39215,39
flight delay horror story,HRl3yiRzHNo,https://www.youtube.com/watch?v=HRl3yiRzHNo,10 True Airport Horror Stories,LEVEL_1_AWARE,36501,86
flight delay horror story,Jzf5CsnB6Ls,https://www.youtube.com/watch?v=Jzf5CsnB6Ls,The SHOCKING Truth About Flight Delay Nightmares Nobody Warns You About,LEVEL_1_AWARE,12,0
flight delay horror story,Yp_4oq2DS6c,https://www.youtube.com/watch?v=Yp_4oq2DS6c,5 Terrifying True Airport Horror Stories You Won’t Believe Happened I True Horror Stories Airports,LEVEL_1_AWARE,17,0
flight delay horror story,EYLkxYBQjeY,https://www.youtube.com/watch?v=EYLkxYBQjeY,3 Disturbing TRUE Airplane Horror Stories (Volume  112),LEVEL_1_AWARE,31,0
flight delay horror story,Z4-mV8oAPdY,https://www.youtube.com/watch?v=Z4-mV8oAPdY,The Night Shift Rules at Greyfield Airport ✈️ (Don’t Break Them),LEVEL_1_AWARE,609,0
flight delay horror story,KD7JHpKhc0c,https://www.youtube.com/watch?v=KD7JHpKhc0c,"US Airport Delays: Grounded Flights, Staffing Shortages, and Travel Horror Stories",LEVEL_2_FRUSTRATED,2,0
flight delay horror story,gzBWU8ICkOA,https://www.youtube.com/watch?v=gzBWU8ICkOA,“Black Soldier Ignored At The Airport—Then The Flight Got Delayed For Him”,LEVEL_2_FRUSTRATED,4385,0
flight delay horror story,A9ouhoA5Uhw,https://www.youtube.com/watch?v=A9ouhoA5Uhw,Reduced flights horror story at DFW International Airport,LEVEL_2_FRUSTRATED,771,1
airline customer service nightmare,fXYOBaOz6MA,https://www.youtube.com/watch?v=fXYOBaOz6MA,Bank&#39;s Genius Move: Free Wine After Travel Nightmare! #CustomerService #shorts,LEVEL_1_AWARE,61,0
